pick,eavar,eavar_upper,eavar_lower,replacement_level
1,22.05096759042756,22.390764405904367,21.711170774950755,4.585678660491628
2,21.690914289743016,22.01716992772952,21.364658651756514,4.585678660491628
3,21.33678147144834,21.650046822458854,21.023516120437826,4.585678660491628
4,20.988471782980287,21.289290510225538,20.687653055735037,4.585678660491628
5,20.645889472577856,20.9347983692355,20.35698057592021,4.585678660491628
6,20.308940362959763,20.586469671317314,20.031411054602213,4.585678660491628
7,19.9775318254347,20.244205508615806,19.710858142253592,4.585678660491628
8,19.651572754437343,19.90790871015171,19.395236798722976,4.585678660491628
9,19.33097354248305,19.57748374706381,19.084463337902292,4.585678660491628
10,19.015646055534393,19.252836625560935,18.778455485507852,4.585678660491628
11,18.70550360877277,18.933874766969463,18.477132450576075,4.585678660491628
12,18.400460942768365,18.620506874796895,18.180415010739836,4.585678660491628
13,18.100434200041995,18.312642789464945,17.888225610619045,4.585678660491628
14,17.805340902012354,18.01019333230075,17.600488471723956,4.585678660491628
15,17.515099926322304,17.713070141493677,17.31712971115093,4.585678660491628
16,17.229631484537993,17.421185503974712,17.038077465101274,4.585678660491628
17,16.94885710021472,17.134452188463516,16.763262011965924,4.585678660491628
18,16.6726995873234,16.85278328612141,16.49261588852539,4.585678660491628
19,16.40108302903185,16.576092066181417,16.22607399188228,4.585678660491628
20,16.1339327568349,16.30429185441554,15.963573659254259,4.585678660491628
21,15.87117533002774,16.037295942177053,15.705054717878426,4.585678660491628
22,15.612738515516764,15.77501753289955,15.450459498133977,4.585678660491628
23,15.358551267962394,15.517369731308985,15.199732804615802,4.585678660491628
24,15.108543710248433,15.26426557828389,14.952821842212977,4.585678660491628
25,14.86264711427254,15.015618131473744,14.709676097071338,4.585678660491628
26,14.620793882052617,14.771340588747748,14.470247175357486,4.585678660491628
27,14.382917527143828,14.531346448643145,14.234488605644511,4.585678660491628
28,14.148952656361214,14.295549699558066,14.002355613164362,4.585678660491628
29,13.918834951802829,14.063865027766195,13.773804875839463,4.585678660491628
30,13.692501153168504,13.83620803358345,13.548794272753558,4.585678660491628
31,13.469889040369296,13.612495445215341,13.32728263552325,4.585678660491628
32,13.250937416422975,13.392645320852441,13.109229511993508,4.585678660491628
33,13.035586090630687,13.17657723125473,12.894594950006645,4.585678660491628
34,12.823775862030303,12.9642124171165,12.683339306944106,4.585678660491628
35,12.615448503121815,12.755473917669587,12.475423088574043,4.585678660491628
36,12.410546743860383,12.550286669038805,12.270806818681962,4.585678660491628
37,12.209014255912546,12.348577572643759,12.069450939181333,4.585678660491628
38,12.01079563717133,12.150275535349351,11.87131573899331,4.585678660491628
39,11.815836396525999,11.955311484070148,11.67636130898185,4.585678660491628
40,11.624082938882214,11.76361835814869,11.484547519615738,4.585678660491628
41,11.43548255042851,11.575131083105934,11.295834017751087,4.585678660491628
42,11.249983384145082,11.389786529371154,11.11018023891901,4.585678660491628
43,11.067534445550798,11.20752345941159,10.927545431690007,4.585678660491628
44,10.888085578684631,11.02828246636616,10.747888691003098,4.585678660491628
45,10.711587452317563,10.85200590689989,10.571168997735231,4.585678660491628
46,10.537991546391229,10.678637830581312,10.397345262201146,4.585678660491628
47,10.367250138679566,10.508123907676257,10.226376369682871,4.585678660491628
48,10.199316291669767,10.3404113568698,10.05822122646973,4.585678660491628
49,10.034143839658974,10.175448874086264,9.89283880523168,4.585678660491628
50,9.871687376063125,10.013186563281003,9.730188188845244,4.585678660491628
51,9.71190224093451,9.853575869828038,9.570228612040978,4.585678660491628
52,9.55474450868456,9.696569516922413,9.412919500446705,4.585678660491628
53,9.400170976008532,9.542121445251393,9.258220506765667,4.585678660491628
54,9.248139150008736,9.3901867560594,9.106091543958069,4.585678660491628
55,9.098607236513061,9.240721657632463,8.95649281539366,4.585678660491628
56,8.951534128585592,9.093683415154231,8.80938484201695,4.585678660491628
57,8.80687939522615,8.949030303832373,8.664728486619929,4.585678660491628
58,8.664603270255625,8.80672156515729,8.522484975353962,4.585678660491628
59,8.524666641384108,8.666717366131618,8.382615916636595,4.585678660491628
60,8.387031039458762,8.528978761294908,8.245083317622612,4.585678660491628
61,8.251658627888478,8.393467657361914,8.109849598415042,4.585678660491628
62,8.11851219224246,8.260146780292384,7.976877604192532,4.585678660491628
63,7.987555130019813,8.128979644613729,7.846130615425898,4.585678660491628
64,7.858751440587375,7.99993052482425,7.717572356350501,4.585678660491628
65,7.732065715282984,7.872964428713019,7.591167001852949,4.585678660491628
66,7.607463127681505,7.748047072441655,7.466879182921354,4.585678660491628
67,7.484909424020885,7.625144857243318,7.344673990798452,4.585678660491628
68,7.3643709137856765,7.504224847604433,7.22451697996692,4.585678660491628
69,7.245814460445351,7.385254750804562,7.1063741700861405,4.585678660491628
70,7.129207472344961,7.268202897699768,6.9902120469901545,4.585678660491628
71,7.01451789374553,7.15303822464391,6.875997562847149,4.585678660491628
72,6.901714196011816,7.0397302564513025,6.763698135572329,4.585678660491628
73,6.790765368944958,6.928249090312172,6.653281647577743,4.585678660491628
74,6.681640912257646,6.8185653805800674,6.544716443935225,4.585678660491628
75,6.5743108271894615,6.710650324357315,6.437971330021608,4.585678660491628
76,6.468745608260099,6.604475647811063,6.333015568709135,4.585678660491628
77,6.364916235158193,6.500013593158299,6.229818877158087,4.585678660491628
78,6.262794164763499,6.397236906263541,6.1283514232634575,4.585678660491628
79,6.162351323300302,6.296118824797797,6.028583821802807,4.585678660491628
80,6.0635600986197895,6.1966330669116205,5.9304871303279585,4.585678660491628
81,5.966393332609374,6.098753820379232,5.834032844839515,4.585678660491628
82,5.870824313726819,6.002455732174069,5.739192895279568,4.585678660491628
83,5.776826769657121,5.9077138984393995,5.645939640874842,4.585678660491628
84,5.6843748600901405,5.814503854820525,5.554245865359756,4.585678660491628
85,5.593443169617003,5.722801567127703,5.464084772106303,4.585678660491628
86,5.504006700743289,5.632583422301184,5.375429979185394,4.585678660491628
87,5.416040867017126,5.543826219652003,5.288255514382249,4.585678660491628
88,5.329521486270276,5.4565071623539305,5.202535810186622,4.585678660491628
89,5.2444247739703505,5.370603849163815,5.118245698776886,4.585678660491628
90,5.160727336682343,5.286094266349097,5.035360407015589,4.585678660491628
91,5.078406165637694,5.202956779802755,4.953855551472633,4.585678660491628
92,4.997438630409065,5.121170127327207,4.873707133490924,4.585678660491628
93,4.917802472689158,5.040713411070057,4.794891534308259,4.585678660491628
94,4.839475800171807,4.961566090095716,4.717385510247898,4.585678660491628
95,4.762437080533695,4.88370797307804,4.6411661879893495,4.585678660491628
96,4.686665135515031,4.807119211100306,4.566211059929755,4.585678660491628
97,4.612139135097558,4.7317802905499,4.492497979645216,4.585678660491628
98,4.5388385917783,4.657672026096237,4.420005157460364,4.585678660491628
99,4.466743354937456,4.5847755537414665,4.348711156133445,4.585678660491628
100,4.395833605298919,4.513072323934801,4.278594886663037,4.585678660491628
101,4.326089849481872,4.4425440947423445,4.2096356042214,4.585678660491628
102,4.257492914641978,4.373172925065659,4.141812904218297,4.585678660491628
103,4.190023943200688,4.304941167903515,4.075106718497861,4.585678660491628
104,4.123664387661214,4.2378314636526815,4.0094973116697465,4.585678660491628
105,4.058396005509748,4.171826733445001,3.9449652775744957,4.585678660491628
106,3.9942008542005167,4.1069101725194725,3.881491535881561,4.585678660491628
107,3.9310612862233034,4.043065243629658,3.8190573288169487,4.585678660491628
108,3.868959944252084,3.9802756704882247,3.757644218015943,4.585678660491628
109,3.8078797563734055,3.918525431252097,3.697234081494714,4.585678660491628
110,3.7478039313932703,3.8577987520534096,3.637809110733131,4.585678660491628
111,3.6887159542211583,3.7980801005829514,3.579351807859365,4.585678660491628
112,3.6305995813299523,3.739354179734499,3.5218449829254057,4.585678660491628
113,3.5734388362905465,3.681605921320034,3.465271751261059,4.585678660491628
114,3.5172180053798376,3.62482047986719,3.409615530892485,4.585678660491628
115,3.4619216332609737,3.5689832265118016,3.354860040010145,4.585678660491628
116,3.4075345187346135,3.514079742999521,3.300989294469705,4.585678660491628
117,3.354041710560055,3.4600958158115533,3.2479876053085563,4.585678660491628
118,3.3014285033450763,3.407017430430363,3.1958395762597895,4.585678660491628
119,3.249680433503367,3.3548307657617773,3.144530101244957,4.585678660491628
120,3.1987832752784238,3.3035221887301374,3.09404436182671,4.585678660491628
121,3.1487230368328367,3.2530782490631998,3.0443678246024737,4.585678660491628
122,3.099485956401872,3.2034856742830486,2.9954862385206953,4.585678660491628
123,3.0510584985103106,3.154731364918672,2.947385632101949,4.585678660491628
124,3.003427350251484,3.106802389954747,2.9000523105482214,4.585678660491628
125,2.9565794176275055,3.059685982529902,2.853472852725109,4.585678660491628
126,2.9105018219496834,3.0133695358959844,2.8076341080033824,4.585678660491628
127,2.865181896298103,2.967840599647891,2.762523192948315,4.585678660491628
128,2.8206071820394483,2.923086876231359,2.7181274878475374,4.585678660491628
129,2.7767654254020684,2.879096217733591,2.674434633070546,4.585678660491628
130,2.733644574107367,2.8358566229590405,2.6314325252556934,4.585678660491628
131,2.6912327740565827,2.793356234789938,2.5891093133232275,4.585678660491628
132,2.6495183660720434,2.751583337828384,2.5474533943157027,4.585678660491628
133,2.6084898826920204,2.710526356314099,2.506453409069942,4.585678660491628
134,2.5681360450182646,2.670173852309204,2.4660982377273255,4.585678660491628
135,2.528445759615402,2.630514524138924,2.4263769950918803,4.585678660491628
136,2.489408115461292,2.591537205074692,2.387279025847892,4.585678660491628
137,2.451012380947552,2.5532308622440683,2.348793899651036,4.585678660491628
138,2.4132480009293884,2.5155845957500267,2.31091140610875,4.585678660491628
139,2.3761045938239507,2.4785876379806604,2.273621549667241,4.585678660491628
140,2.339571948756382,2.442229353089151,2.2369145444236134,4.585678660491628
141,2.3036400227528135,2.4064992366230484,2.2007808088825787,4.585678660491628
142,2.268298937979514,2.3713869152814038,2.1652109606776246,4.585678660491628
143,2.233538979027423,2.336882146778146,2.1301958112766997,4.585678660491628
